Raoni Barcelos*Cody Garbrandt*Bantamweight*win*June 14, 2025*
Mansur Abdul-Malik*Cody Brundage*Middleweight*draw*June 14, 2025*
Alonzo Menifield*Oumar Sy*Light Heavyweight*win*June 14, 2025*
Paul Craig*Rodolfo Bellato*Light Heavyweight*draw*June 14, 2025*
Michael Chiesa*Court McGee*Welterweight*win*June 14, 2025*
Malcolm Wellmaker*Kris Moutinho*Bantamweight*win*June 14, 2025*
Jose Ochoa*Cody Durden*Flyweight*win*June 14, 2025*
Ricky Simon*Cameron Smotherman*Bantamweight*win*June 14, 2025*
Phil Rowe*Ange Loosa*Welterweight*win*June 14, 2025*
Jamey-Lyn Horth*Vanessa Demopoulos*Women's Flyweight*win*June 14, 2025*
Merab Dvalishvili*Sean O'Malley*Bantamweight*win*June 07, 2025*
Kayla Harrison*Julianna Pena*Women's Bantamweight*win*June 07, 2025*
Joe Pyfer*Kelvin Gastelum*Middleweight*win*June 07, 2025*
Mario Bautista*Patchy Mix*Bantamweight*win*June 07, 2025*
Kevin Holland*Vicente Luque*Welterweight*win*June 07, 2025*
Joshua Van*Bruno Silva*Flyweight*win*June 07, 2025*
Azamat Murzakanov*Brendson Ribeiro*Light Heavyweight*win*June 07, 2025*
Waldo Cortes-Acosta*Serghei Spivac*Heavyweight*win*June 07, 2025*
Andreas Gustafsson*Khaos Williams*Welterweight*win*June 07, 2025*
Wang Cong*Ariane da Silva*Women's Flyweight*win*June 07, 2025*
JooSang Yoo*Jeka Saragih*Featherweight*win*June 07, 2025*
Quillan Salkilld*Yanal Ashmouz*Lightweight*win*June 07, 2025*
MarQuel Mederos*Mark Choinski*Lightweight*win*June 07, 2025*
Mateusz Gamrot*Ludovit Klein*Lightweight*win*May 31, 2025*
Ramiz Brahimaj*Billy Ray Goff*Welterweight*win*May 31, 2025*
Dustin Jacoby*Bruno Lopes*Light Heavyweight*win*May 31, 2025*
Ketlen Vieira*Macy Chiasson*Women's Featherweight*win*May 31, 2025*
Zachary Reese*Dusko Todorovic*Middleweight*win*May 31, 2025*
Allan Nascimento*Jafel Filho*Flyweight*win*May 31, 2025*
Jordan Leavitt*Kurt Holobaugh*Lightweight*win*May 31, 2025*
Bolaji Oki*Michael Aswell*Lightweight*win*May 31, 2025*
Alice Ardelean*Rayanne dos Santos*Women's Strawweight*win*May 31, 2025*
Michael Morales*Gilbert Burns*Welterweight*win*May 17, 2025*
Mairon Santos*Sodiq Yusuff*Lightweight*win*May 17, 2025*
Nursulton Ruziboev*Dustin Stoltzfus*Middleweight*win*May 17, 2025*
Melquizael Costa*Julian Erosa*Featherweight*win*May 17, 2025*
Gabe Green*Matheus Camilo*Lightweight*win*May 17, 2025*
Jared Gordon*Thiago Moises*Lightweight*win*May 17, 2025*
Yadier del Valle*Connor Matthews*Featherweight*win*May 17, 2025*
Luana Santos*Tainara Lisboa*Women's Bantamweight*win*May 17, 2025*
Denise Gomes*Elise Reed*Women's Strawweight*win*May 17, 2025*
HyunSung Park*Carlos Hernandez*Flyweight*win*May 17, 2025*
Tecia Pennington*Luana Pinheiro*Women's Strawweight*win*May 17, 2025*
Jack Della Maddalena*Belal Muhammad*Welterweight*win*May 10, 2025*
Valentina Shevchenko*Manon Fiorot*Women's Flyweight*win*May 10, 2025*
Aiemann Zahabi*Jose Aldo*Featherweight*win*May 10, 2025*
Natalia Silva*Alexa Grasso*Women's Flyweight*win*May 10, 2025*
Benoit Saint Denis*Kyle Prepolec*Lightweight*win*May 10, 2025*
Mike Malott*Charles Radtke*Welterweight*win*May 10, 2025*
Jasmine Jasudavicius*Jessica Andrade*Women's Flyweight*win*May 10, 2025*
Modestas Bukauskas*Ion Cutelaba*Light Heavyweight*win*May 10, 2025*
Navajo Stirling*Ivan Erslan*Light Heavyweight*win*May 10, 2025*
Marc-Andre Barriault*Bruno Silva*Middleweight*win*May 10, 2025*
Daniel Santos*JeongYeong Lee*Featherweight*win*May 10, 2025*
Bekzat Almakhan*Brad Katona*Bantamweight*win*May 10, 2025*
Cory Sandhagen*Deiveson Figueiredo*Bantamweight*win*May 03, 2025*
Reinier de Ridder*Bo Nickal*Middleweight*win*May 03, 2025*
Daniel Rodriguez*Santiago Ponzinibbio*Welterweight*win*May 03, 2025*
Montel Jackson*Daniel Marcos*Bantamweight*win*May 03, 2025*
Serhiy Sidey*Cameron Smotherman*Bantamweight*win*May 03, 2025*
Mason Jones*Jeremy Stephens*Lightweight*win*May 03, 2025*
Yana Santos*Miesha Tate*Women's Bantamweight*win*May 03, 2025*
Azamat Bekoev*Ryan Loder*Middleweight*win*May 03, 2025*
Gillian Robertson*Marina Rodriguez*Women's Strawweight*win*May 03, 2025*
Quang Le*Gaston Bolanos*Bantamweight*win*May 03, 2025*
Thomas Petersen*Don'Tale Mayes*Heavyweight*win*May 03, 2025*
Juliana Miller*Ivana Petrovic*Women's Flyweight*win*May 03, 2025*
Ian Machado Garry*Carlos Prates*Welterweight*win*April 26, 2025*
Zhang Mingyang*Anthony Smith*Light Heavyweight*win*April 26, 2025*
David Onama*Giga Chikadze*Featherweight*win*April 26, 2025*
Abus Magomedov*Michel Pereira*Middleweight*win*April 26, 2025*
Randy Brown*Nicolas Dalby*Welterweight*win*April 26, 2025*
Ikram Aliskerov*Andre Muniz*Middleweight*win*April 26, 2025*
Matt Schnell*Jimmy Flick*Flyweight*win*April 26, 2025*
Evan Elder*Gauge Young*Lightweight*win*April 26, 2025*
Chris Gutierrez*John Castaneda*Featherweight*win*April 26, 2025*
Da'Mon Blackshear*Alatengheili*Bantamweight*win*April 26, 2025*
Malcolm Wellmaker*Cameron Saaiman*Bantamweight*win*April 26, 2025*
Jaqueline Amorim*Polyana Viana*Women's Strawweight*win*April 26, 2025*
Timmy Cuamba*Roberto Romero*Featherweight*win*April 26, 2025*
Joselyne Edwards*Chelsea Chandler*Women's Bantamweight*win*April 26, 2025*
Alexander Volkanovski*Diego Lopes*Featherweight*win*April 12, 2025*
Paddy Pimblett*Michael Chandler*Lightweight*win*April 12, 2025*
Yair Rodriguez*Patricio Freire*Featherweight*win*April 12, 2025*
Jean Silva*Bryce Mitchell*Featherweight*win*April 12, 2025*
Dominick Reyes*Nikita Krylov*Light Heavyweight*win*April 12, 2025*
Dan Ige*Sean Woodson*Featherweight*win*April 12, 2025*
Virna Jandiroba*Yan Xiaonan*Women's Strawweight*win*April 12, 2025*
Chase Hooper*Jim Miller*Lightweight*win*April 12, 2025*
Julian Erosa*Darren Elkins*Featherweight*win*April 12, 2025*
Michal Oleksiejczuk*Sedriques Dumas*Middleweight*win*April 12, 2025*
Sumudaerji*Mitch Raposo*Flyweight*win*April 12, 2025*
Marco Tulio*Tresean Gore*Middleweight*win*April 12, 2025*
Nora Cornolle*Hailey Cowan*Women's Bantamweight*win*April 12, 2025*
Lerone Murphy*Josh Emmett*Featherweight*win*April 05, 2025*
Pat Sabatini*Joanderson Brito*Featherweight*win*April 05, 2025*
ChangHo Lee*Cortavious Romious*Bantamweight*win*April 05, 2025*
Brad Tavares*Gerald Meerschaert*Middleweight*win*April 05, 2025*
Ode Osbourne*Luis Gurule*Flyweight*win*April 05, 2025*
Torrez Finney*Robert Valentin*Middleweight*win*April 05, 2025*
Dione Barbosa*Diana Belbita*Women's Flyweight*win*April 05, 2025*
Rhys McKee*Daniel Frunza*Welterweight*win*April 05, 2025*
Loma Lookboonmee*Istela Nunes*Women's Strawweight*win*April 05, 2025*
Victor Henry*Pedro Falcao*Bantamweight*win*April 05, 2025*
Martin Buday*Uran Satybaldiev*Heavyweight*win*April 05, 2025*
Talita Alencar*Vanessa Demopoulos*Women's Strawweight*win*April 05, 2025*
Brandon Moreno*Steve Erceg*Flyweight*win*March 29, 2025*
Manuel Torres*Drew Dober*Lightweight*win*March 29, 2025*
Edgar Chairez*CJ Vergara*Flyweight*win*March 29, 2025*
Raul Rosas Jr.*Vince Morales*Bantamweight*win*March 29, 2025*
David Martinez*Saimon Oliveira*Bantamweight*win*March 29, 2025*
Kevin Borjas*Ronaldo Rodriguez*Flyweight*win*March 29, 2025*
Ateba Gautier*Jose Daniel Medina*Middleweight*win*March 29, 2025*
Melquizael Costa*Christian Rodriguez*Featherweight*win*March 29, 2025*
Loopy Godinez*Julia Polastri*Women's Strawweight*win*March 29, 2025*
Rafa Garcia*Vinc Pichel*Lightweight*win*March 29, 2025*
Jamall Emmers*Gabriel Miranda*Featherweight*win*March 29, 2025*
MarQuel Mederos*Austin Hubbard*Lightweight*win*March 29, 2025*
Sean Brady*Leon Edwards*Welterweight*win*March 22, 2025*
Carlos Ulberg*Jan Blachowicz*Light Heavyweight*win*March 22, 2025*
Kevin Holland*Gunnar Nelson*Welterweight*win*March 22, 2025*
Alexia Thainara*Molly McCann*Women's Strawweight*win*March 22, 2025*
Chris Duncan*Jordan Vucenic*Lightweight*win*March 22, 2025*
Nathaniel Wood*Morgan Charriere*Featherweight*win*March 22, 2025*
Chris Padilla*Jai Herbert*Lightweight*win*March 22, 2025*
Lone'er Kavanagh*Felipe dos Santos*Flyweight*win*March 22, 2025*
Marcin Tybura*Mick Parkin*Heavyweight*win*March 22, 2025*
Christian Leroy Duncan*Andrey Pulyaev*Middleweight*win*March 22, 2025*
Shauna Bannon*Puja Tomar*Women's Strawweight*win*March 22, 2025*
Caolan Loughran*Nathan Fletcher*Bantamweight*win*March 22, 2025*
Kaue Fernandes*Guram Kutateladze*Lightweight*win*March 22, 2025*
Roman Dolidze*Marvin Vettori*Middleweight*win*March 15, 2025*
Chidi Njokuani*Elizeu Zaleski dos Santos*Welterweight*win*March 15, 2025*
Alexander Hernandez*Kurt Holobaugh*Lightweight*win*March 15, 2025*
Da'Mon Blackshear*Cody Gibson*Bantamweight*win*March 15, 2025*
Brendson Ribeiro*Diyar Nurgozhay*Light Heavyweight*win*March 15, 2025*
Kevin Vallejos*SeungWoo Choi*Featherweight*win*March 15, 2025*
Waldo Cortes-Acosta*Ryan Spann*Heavyweight*win*March 15, 2025*
SuYoung You*AJ Cunningham*Bantamweight*win*March 15, 2025*
Carlos Vera*Josias Musasa*Bantamweight*win*March 15, 2025*
Sam Hughes*Stephanie Luciano*Women's Strawweight*win*March 15, 2025*
Andre Lima*Daniel Barez*Flyweight*win*March 15, 2025*
Priscila Cachoeira*Josiane Nunes*Women's Bantamweight*win*March 15, 2025*
Carli Judice*Yuneisy Duben*Women's Flyweight*win*March 15, 2025*
Magomed Ankalaev*Alex Pereira*Light Heavyweight*win*March 08, 2025*
Justin Gaethje*Rafael Fiziev*Lightweight*win*March 08, 2025*
Ignacio Bahamondes*Jalin Turner*Lightweight*win*March 08, 2025*
Amanda Lemos*Iasmin Lucindo*Women's Strawweight*win*March 08, 2025*
Mauricio Ruffy*King Green*Lightweight*win*March 08, 2025*
Joshua Van*Rei Tsuruya*Flyweight*win*March 08, 2025*
Brunno Ferreira*Armen Petrosyan*Middleweight*win*March 08, 2025*
Carlos Leal*Alex Morono*Welterweight*win*March 08, 2025*
Mairon Santos*Francis Marshall*Featherweight*win*March 08, 2025*
Ozzy Diaz*Djorden Santos*Middleweight*win*March 08, 2025*
Manel Kape*Asu Almabayev*Flyweight*win*March 01, 2025*
Cody Brundage*Julian Marquez*Middleweight*win*March 01, 2025*
Nasrat Haqparast*Esteban Ribovics*Lightweight*win*March 01, 2025*
Hyder Amil*William Gomis*Featherweight*win*March 01, 2025*
Sam Patterson*Danny Barlow*Welterweight*win*March 01, 2025*
Mario Pinto*Austen Lane*Heavyweight*win*March 01, 2025*
Chepe Mariscal*Ricardo Ramos*Featherweight*win*March 01, 2025*
Danny Silva*Lucas Almeida*Featherweight*win*March 01, 2025*
JJ Aldrich*Andrea Lee*Women's Flyweight*win*March 01, 2025*
Ramazan Temirov*Charles Johnson*Flyweight*win*March 01, 2025*
Song Yadong*Henry Cejudo*Bantamweight*win*February 22, 2025*
Anthony Hernandez*Brendan Allen*Middleweight*win*February 22, 2025*
Rob Font*Jean Matsumoto*Catch Weight*win*February 22, 2025*
Jean Silva*Melsik Baghdasaryan*Featherweight*win*February 22, 2025*
Alonzo Menifield*Julius Walker*Light Heavyweight*win*February 22, 2025*
Ion Cutelaba*Ibo Aslan*Light Heavyweight*win*February 22, 2025*
Melquizael Costa*Andre Fili*Featherweight*win*February 22, 2025*
Mansur Abdul-Malik*Nick Klein*Middleweight*win*February 22, 2025*
Ricky Simon*Javid Basharat*Bantamweight*win*February 22, 2025*
Austin Vanderford*Nikolay Veretennikov*Catch Weight*win*February 22, 2025*
Nursulton Ruziboev*Eric McConico*Middleweight*win*February 22, 2025*
Modestas Bukauskas*Rafael Cerqueira*Light Heavyweight*win*February 22, 2025*
Jared Cannonier*Gregory Rodrigues*Middleweight*win*February 15, 2025*
Youssef Zalal*Calvin Kattar*Featherweight*win*February 15, 2025*
Edmen Shahbazyan*Dylan Budka*Middleweight*win*February 15, 2025*
Nazim Sadykhov*Ismael Bonfim*Lightweight*win*February 15, 2025*
Andre Petroski*Rodolfo Vieira*Middleweight*win*February 15, 2025*
Jose Delgado*Connor Matthews*Featherweight*win*February 15, 2025*
Angela Hill*Ketlen Souza*Women's Strawweight*win*February 15, 2025*
Rafael Estevam*Jesus Aguilar*Flyweight*win*February 15, 2025*
Gabriel Bonfim*Khaos Williams*Welterweight*win*February 15, 2025*
Elijah Smith*Vince Morales*Bantamweight*win*February 15, 2025*
Valter Walker*Don'Tale Mayes*Heavyweight*win*February 15, 2025*
Jacqueline Cavalcanti*Julia Avila*Women's Bantamweight*win*February 15, 2025*
Dricus Du Plessis*Sean Strickland*Middleweight*win*February 08, 2025*
Zhang Weili*Tatiana Suarez*Women's Strawweight*win*February 08, 2025*
Tallison Teixeira*Justin Tafa*Heavyweight*win*February 08, 2025*
Jimmy Crute*Rodolfo Bellato*Light Heavyweight*draw*February 08, 2025*
Jake Matthews*Francisco Prado*Welterweight*win*February 08, 2025*
Gabriel Santos*Jack Jenkins*Featherweight*win*February 08, 2025*
Tom Nolan*Viacheslav Borshchev*Lightweight*win*February 08, 2025*
Wang Cong*Bruna Brasil*Women's Flyweight*win*February 08, 2025*
Aleksandre Topuria*Colby Thicknesse*Bantamweight*win*February 08, 2025*
Rongzhu*Kody Steele*Lightweight*win*February 08, 2025*
Jonathan Micallef*Kevin Jousset*Welterweight*win*February 08, 2025*
Quillan Salkilld*Anshul Jubli*Lightweight*win*February 08, 2025*
Nassourdine Imavov*Israel Adesanya*Middleweight*win*February 01, 2025*
Michael Page*Shara Magomedov*Middleweight*win*February 01, 2025*
Sergei Pavlovich*Jairzinho Rozenstruik*Heavyweight*win*February 01, 2025*
Vinicius Oliveira*Said Nurmagomedov*Bantamweight*win*February 01, 2025*
Fares Ziam*Mike Davis*Lightweight*win*February 01, 2025*
Muhammad Naimov*Kaan Ofli*Featherweight*win*February 01, 2025*
Shamil Gaziev*Thomas Petersen*Heavyweight*win*February 01, 2025*
Terrance McKinney*Damir Hadzovic*Lightweight*win*February 01, 2025*
Jasmine Jasudavicius*Mayra Bueno Silva*Women's Flyweight*win*February 01, 2025*
Bogdan Grad*Lucas Alexander*Featherweight*win*February 01, 2025*
Hamdy Abdelwahab*Jamal Pogues*Heavyweight*win*February 01, 2025*
Islam Makhachev*Renato Moicano*Lightweight*win*January 18, 2025*
Merab Dvalishvili*Umar Nurmagomedov*Bantamweight*win*January 18, 2025*
Jiri Prochazka*Jamahal Hill*Light Heavyweight*win*January 18, 2025*
Jailton Almeida*Serghei Spivac*Heavyweight*win*January 18, 2025*
Reinier de Ridder*Kevin Holland*Middleweight*win*January 18, 2025*
Raoni Barcelos*Payton Talbott*Bantamweight*win*January 18, 2025*
